timestamp,open,high,low,close,adjusted close,volume,dividend amount
2005-12-23,83.2300,84.2000,82.0600,83.4800,42.9989,27298200,0.0000
2005-12-16,87.0100,87.3500,82.7500,83.3700,42.9422,39305300,0.0000
2005-12-09,88.4000,89.9200,86.3300,86.9700,44.7965,26427900,0.0000
2005-12-02,88.8000,89.9400,88.3600,88.6500,45.6618,25765400,0.0000
2005-11-25,87.6000,89.3900,86.8800,88.8000,45.7391,18193100,0.0000
2005-11-18,84.2500,88.0000,84.0300,87.7700,45.2086,30719600,0.0000
2005-11-11,83.1000,84.8400,82.3000,84.5500,43.5500,21762600,0.2000
2005-11-04,81.5100,83.3000,80.6400,83.0000,42.6490,31154000,0.0000
2005-10-28,83.1500,83.9500,80.5000,81.4200,41.8372,25793400,0.0000
2005-10-21,82.3600,84.6000,81.9300,83.3300,42.8186,39286100,0.0000
2005-10-14,81.2400,83.5200,81.0800,82.3500,42.3150,36349300,0.0000
2005-10-07,80.2200,81.4700,78.7000,80.5000,41.3644,30921800,0.0000
2005-09-30,78.3100,80.5500,76.9300,80.2200,41.2206,30116700,0.0000
2005-09-23,79.7400,79.9800,77.3000,78.0000,40.0798,31701800,0.0000
